state_fips,Code,region,division,county_name,state_name,pop1970,pop1971,pop1972,pop1973,pop1974,pop1975,pop1976,pop1977,pop1978,pop1979,pop1980,pop1981,pop1982,pop1983,pop1984,pop1985,pop1986,pop1987,pop1988,pop1989,pop1999,pop1998,pop1997,pop1996,pop1995,pop1994,pop1993,pop1992,pop1991,pop1990,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006
13,110114,3,5,Gordon County,Georgia,23570,24900,26000,26900,28100,28100,28400,28600,29300,30100,30070,30561,30752,31063,31901,32557,32842,33496,34179,34845,41966,41078,40260,39215,38381,37666,37097,36225,35669,35205,44104,45735,46707,47800,49018,50227,51419
13,110115,3,5,Grady County,Georgia,17826,17700,18100,18400,18600,19200,19300,19700,19800,19800,19845,19862,19782,19818,20661,20794,20710,20553,20446,20335,21600,21416,21491,21460,21224,21010,20848,20528,20390,20328,23659,23858,23924,24032,24211,24508,25082
13,110116,3,5,Greene County,Georgia,10212,10100,10500,10700,10900,11000,11100,11300,11400,11500,11391,11521,11512,11683,11709,11619,11524,11503,11695,11728,14094,13663,13363,13024,12786,12615,12413,12147,12081,11848,14406,14783,15141,15265,15457,15570,15534
13,110117,3,5,Gwinnett County,Georgia,72349,79000,84100,99900,110800,118500,126500,135400,145200,156300,166815,179135,192057,208337,229270,253023,277263,301620,323528,341985,545632,522666,500644,476790,457155,433710,411871,390401,372252,356609,588448,623903,649355,673526,700502,726790,757104
13,110228,3,5,Habersham County,Georgia,20691,21400,22100,22400,23000,23600,24400,24800,25300,25000,25020,25282,25810,25972,26043,26171,26519,26796,27137,27424,32530,31734,31226,30658,30102,29471,29135,28587,28119,27735,35902,37105,37774,38462,38938,39621,41112
13,110229,3,5,Hall County,Georgia,59405,62000,63400,65800,66800,69100,69600,71200,72500,74300,75649,77629,78832,80278,82024,84174,87054,89092,91583,93865,123290,119334,115821,112170,108791,105598,102610,99964,98317,95984,139277,147087,152190,156496,160461,166302,173256
13,310101,3,5,Hancock County,Georgia,9019,9300,9400,9500,9400,9500,9500,9500,9600,9500,9466,9479,9379,9328,9408,9347,9245,9198,9045,9010,9046,9139,8998,8961,9073,8999,9025,8971,8923,8903,10076,10032,9993,9933,9814,9713,9677
13,310104,3,5,Haralson County,Georgia,15927,16500,17000,17100,17300,17500,17800,17900,18100,17900,18422,18994,19241,19368,19925,20372,20787,21235,21556,21867,25070,24590,24187,23744,23261,22955,22646,22386,22090,21997,25690,26375,26860,27438,27951,28335,28616
13,310105,3,5,Harris County,Georgia,11520,11700,12100,12700,13100,13400,13800,14400,14900,15200,15464,15209,15356,15592,15918,16507,16861,17067,17538,17768,22634,22297,22214,21275,20427,19723,18969,18142,17797,17818,23695,24354,25120,25923,26805,27697,28785
13,310106,3,5,Hart County,Georgia,15814,16200,16400,17100,17300,17600,17800,18100,18200,18300,18585,18678,18863,18872,19031,19276,19360,19336,19478,19610,22124,21793,21512,21024,20708,20326,20341,20182,19897,19809,22997,23086,23214,23226,23642,23953,24276
13,310107,3,5,Heard County,Georgia,5354,5500,5600,5700,5800,5900,5900,6100,6200,6300,6520,6557,6648,6833,7014,7280,7634,7827,8024,8412,10490,10088,9993,9800,9573,9330,9202,8979,8835,8683,11012,11187,11244,11183,11255,11336,11472
13,310108,3,5,Henry County,Georgia,23724,24900,25400,27200,28900,29600,29900,30400,32100,34400,36309,37132,38270,39651,41305,43402,45567,48460,51785,55255,113443,104925,97731,90954,84589,78890,72860,67493,63552,59892,119341,130387,139992,149857,158724,168204,178033
13,310109,3,5,Houston County,Georgia,62924,65900,66200,68200,70400,72100,73200,73900,74900,76600,77605,80235,80598,81590,81631,82850,84060,85577,86741,88242,107644,105638,103778,101131,99173,98009,95312,93187,91287,89662,110765,113317,116476,119943,123676,125576,127530
13,310110,3,5,Irwin County,Georgia,8036,8500,8300,8500,8500,8600,8700,8700,9000,9000,8988,8860,8892,8985,8970,8880,8821,8845,8809,8718,9181,9048,8955,8791,8694,8539,8593,8604,8626,8626,9931,9964,10012,10068,9823,10227,10403
13,310112,3,5,Jackson County,Georgia,21093,21900,22400,23100,23500,23900,24300,24600,24700,25300,25343,25880,26228,26514,26821,27504,27907,28556,29095,29684,39057,37711,36431,35185,33869,33020,32032,31381,30767,30168,41589,43574,45630,47240,49565,52357,55778
13,310113,3,5,Jasper County,Georgia,5760,6100,6200,6700,7100,7400,7600,7800,8000,8200,7553,7516,7486,7583,7713,7679,7733,7968,8049,8328,10589,10166,9870,9498,9138,8956,8853,8695,8563,8482,11426,11753,12214,12590,12750,13144,13624
13,310114,3,5,Jeff Davis County,Georgia,9425,10000,10000,10600,11000,11100,11500,11600,11500,11400,11473,11623,11736,11656,11880,11813,11845,11822,12037,12064,12714,12707,12681,12525,12407,12338,12149,12090,12047,12039,12684,12786,12873,12816,12890,13082,13278
13,310115,3,5,Jefferson County,Georgia,17174,16900,16900,17400,17500,17600,17700,17800,17800,18200,18403,18282,18362,18317,18259,18202,18075,17983,17704,17565,17858,17829,17793,17798,17704,17560,17556,17466,17506,17394,17266,17149,17089,16922,16887,16783,16768
13,310116,3,5,Jenkins County,Georgia,8332,8300,8300,8400,8300,8200,8300,8300,8500,8600,8841,8834,8719,8688,8654,8644,8555,8407,8361,8320,8401,8446,8451,8447,8609,8556,8516,8505,8338,8246,8575,8645,8647,8675,8632,8715,8725
13,310117,3,5,Johnson County,Georgia,7727,7700,8100,8000,8100,8300,8400,8600,8500,8600,8660,8664,8635,8609,8571,8627,8510,8401,8410,8399,8293,8293,8348,8328,8354,8376,8412,8267,8383,8345,8560,8566,9404,9465,9614,9522,9626
13,310118,3,5,Jones County,Georgia,12270,13800,14400,14000,14300,14800,15200,15500,15900,16000,16579,17087,17540,18108,18712,19075,19388,19855,20177,20504,23307,22997,22607,22245,22008,21631,21425,21257,20937,20798,23639,24164,24785,25499,26272,26744,26973
13,310120,3,5,Lamar County,Georgia,10688,11100,11300,11100,11400,11600,11700,11700,11800,12100,12215,12210,12041,12132,12299,12474,12570,13029,13004,13046,15010,14700,14441,13974,13820,13709,13431,13438,13208,13044,15912,16416,16210,16279,16298,16605,16679
13,310230,3,5,Lanier County,Georgia,5031,5200,5200,5100,5300,5200,5200,5400,5400,5600,5654,5680,5716,5692,5692,5768,5740,5760,5657,5578,6959,6988,6767,6599,6300,6104,5922,5730,5663,5534,7241,7127,7169,7387,7403,7521,7723
